0,1
0,111（スリーワン）,none
1,123横浜西口店,http://nobuta.pt.teramoba2.com/yokohamanishiguchi/rack_info/
2,123笹塚店,http://nobuta.pt.teramoba2.com/sasazuka/rack_info/
3,123篠崎店,http://nobuta.pt.teramoba2.com/shinozaki/
4,16MGMいわき泉店,http://www.d-deltanet.com/pc/D0101.do?pmc=13004062
5,16ＭＧＭ勿来・錦店,https://minpachi.com/
6,1:BAN,http://www.d-deltanet.com/pc/HallSelectLink.do?hallcode=27339001
7,1ぱちZAP京急久里浜店,https://minpachi.com/
8,1円本舗ゼスト,https://minpachi.com/
9,21SEIKI仙台泉,https://daidata.goraggio.com/100364
10,21SEIKI八戸,https://daidata.goraggio.com/100367
11,21SEIKI八戸西,https://daidata.goraggio.com/100368
12,21世紀串本店,https://minpachi.com/
13,21世紀水巻店,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c719401/
14,22世紀糀谷店,https://minpachi.com/
15,2１世紀わかやま店,https://minpachi.com/
16,5カラット小野店,https://p-town.dmm.com/lp
17,A TIME 新開地店,http://atime.mobi/shinkaichi/
18,A パーク春日店,https://p-town.dmm.com/lp
19,A-1　LINK（エーワンリンク）,https://minpachi.com/
20,A-FLAG大安店,none
21,A-FLAG津店,https://p-tora.com/toukai/hall/index.html?no=4376
22,A-FLAG西尾一色店,https://p-town.dmm.com/shops/aichi/12470/jackpot
23,A-PARK屋形原,https://p-town.dmm.com/lp
24,A-SLOT333,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c744001/
25,ABC三島二日町店,http://papimo.jp/h/00041908/hit/top
26,ABC伊東吉田店,http://papimo.jp/h/00041910/hit/top
27,ABC八幡店,none
28,ABC国吉店,https://minpachi.com/
29,ABC富士今泉店,http://papimo.jp/h/00041869/hit/top
30,ABC富士宮万野原店,http://papimo.jp/h/00041893/hit/top
31,ABC富士宮浅間町店,http://papimo.jp/h/00041894/hit/top
32,ABC富士川松野店,http://papimo.jp/h/00041895/hit/top
33,ABC富士弥生通り店,http://papimo.jp/h/00041873/hit/top
34,ABC富士荒田島店,http://papimo.jp/h/00041872/hit/top
35,ABC小笠町店,http://papimo.jp/h/00041690/hit/top
36,ABC御殿場川島田店,http://papimo.jp/h/00041909/hit/top
37,ABC掛川細田店,http://papimo.jp/h/00041880/hit/top
38,ABC本店クリスロード館,https://minpachi.com/
39,ABC本店スロット館キングダム,https://minpachi.com/
40,ABC松本白板店,http://papimo.jp/h/00041886/hit/top/
41,ABC浜北店,http://papimo.jp/h/00041879/hit/top
42,ABC浜松天竜川駅前店,http://papimo.jp/h/00041590/hit/top
43,ABC浜松小池町店,http://papimo.jp/h/00041881/hit/top
44,ABC浜松葵西店,http://papimo.jp/h/00041884/hit/top
45,ABC清水町長沢店,http://papimo.jp/h/00041913/hit/top
46,ABC焼津三ヶ名店,http://papimo.jp/h/00041947/hit/top
47,ABC焼津三和店,http://papimo.jp/h/00041948/hit/top
48,ABC甲府アルプス通り店,http://papimo.jp/h/00041918/hit/top
49,ABC甲府上阿原店,http://papimo.jp/h/00041911/hit/top
50,ABC甲府昭和通り店,http://papimo.jp/h/00041919/hit/top
51,ABC甲斐敷島店,http://papimo.jp/h/00041915/hit/top
52,ABC磐田中泉店,http://papimo.jp/h/00041877/hit/top
53,ABC笛吹石和店,http://papimo.jp/h/00041912/hit/top
54,ABC藤枝緑町店,http://papimo.jp/h/00041944/hit/top
55,ABC袋井山科店,http://papimo.jp/h/00041883/hit/top
56,ABC豊川店,http://papimo.jp/h/00051762
57,ABC静岡中吉田店,http://papimo.jp/h/00041950/hit/top
58,ABC静岡寿町店,http://papimo.jp/h/00041949/hit/top
59,ABC静岡柳町店,http://papimo.jp/h/00041945/hit/top
60,ABC韮崎竜岡店,http://papimo.jp/h/00041920/hit/top
61,ACCEL,none
62,ACCEL宇美店,https://minpachi.com/
63,ACCEL行橋店,none
64,ACT,https://minpachi.com/
65,ACT1,https://minpachi.com/
66,act　gold長浜,http://act.pt.teramoba2.com/nagahama/rack_info/
67,ACT五個荘ドラゴン,http://act.pt.teramoba2.com/gokasyou/rack_info/
68,ACT倉賀野ジャンボ,https://minpachi.com/
69,ACT堅田ドラゴン,http://act.pt.teramoba2.com/katata/rack_info/
70,ACT守山１番館ドラゴン,http://act.pt.teramoba2.com/moriyama1/rack_info/
71,ACT守山２番館ドラゴン,http://act.pt.teramoba2.com/moriyama2/rack_info/
72,ACT守山３番館ドラゴン,http://act.pt.teramoba2.com/moriyama3/rack_info/
73,ACT愛知川ドラゴン,http://act.pt.teramoba2.com/echigawa/rack_info/
74,ACT水口ユニオン,http://act.pt.teramoba2.com/minakuchi/rack_info/
75,ACT草津ドラゴン,http://act.pt.teramoba2.com/kusatsu/rack_info/
76,ACT近江八幡１番館ファルコン,http://act.pt.teramoba2.com/omihachiman1/rack_info/
77,ACT近江八幡２番館,http://act.pt.teramoba2.com/omihachiman2/rack_info/
78,Aim,none
79,AION入間店,https://minpachi.com/
80,AION秋葉原,none
81,AION西葛西,https://minpachi.com/
82,AION豊田店,https://minpachi.com/
83,AION難波店,none
84,AIS小川店,https://minpachi.com/
85,ALEA　WORLD,https://p-town.dmm.com/lp
86,ALEA　WORLD春江店,https://p-town.dmm.com/lp
87,AMORE天神橋店,http://amore777.pt.teramoba2.com/hl-101/
88,AMUSEMENTPARK　AKASAKA,https://minpachi.com/
89,AMUSEMENTSPACE　WONDER,https://minpachi.com/
90,AmusementZoneアズ千里センター,https://minpachi.com/
91,Amusement　Club-J,https://p-town.dmm.com/lp
92,AMZ土浦店,none
93,ANGKOR1,https://minpachi.com/
94,ANNEX,none
95,APAN-上野店,https://daidata.goraggio.com/100802
96,APANCLUB弘法通り店,http://www.p-do.ne.jp/k_mch.cgi?aid=a125f5ad0b04b9eL1404&amp
97,APOLLO,none
98,APOLLOII,https://minpachi.com/
99,APOLLO　SLOT,https://minpachi.com/
100,APOLLO御経塚店,https://minpachi.com/
101,APOLLO野々市店,none
102,APOLLO長田店,https://minpachi.com/
103,APRO.1,https://daidata.goraggio.com/100880
104,APRO.7,http://papimo.jp/h/00081731/hit/top
105,APRO　CITY四日市店,none
106,APULO塩尻北インター店,https://daidata.goraggio.com/100999
107,APULO大町,https://daidata.goraggio.com/101001
108,APULO松川店,https://minpachi.com/
109,APULO松本駅前店,https://daidata.goraggio.com/101020
110,AQUAミッドタワーグランド店,https://minpachi.com/
111,ARENA,http://papimo.jp/h/00061774/hit/top/
112,Arena300,none
113,ARISE　DAIAN　築館店,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c739402/
114,ARISE　DAIAN　荒巻店,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c739401/cgi-bin/nc-v03-001.php?cd_ps=2
115,ARK480,https://minpachi.com/
116,ARKRESORT室戸店,https://minpachi.com/
117,ARK　RESORT,none
118,ARK総社,none
119,ARK関根,https://minpachi.com/
120,ARROWナンバHIPS,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732921/
121,ARROW中環堺店,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732916/
122,ARROW京田辺店,https://minpachi.com/
123,ARROW天理店,https://p-town.dmm.com/lp
124,ARROW寝屋川池田店,https://p-town.dmm.com/lp
125,ARROW彩都店,https://p-town.dmm.com/lp
126,ARROW志紀店,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732912/
127,ARROW志紀駅前店,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732911/
128,ARROW栂店（アロー栂店）,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732914/
129,ARROW池上店,https://minpachi.com/
